BN,FPE,Form ID,100,110,120,130
890472509RR0001,2021-01-31,25,,,,
800625980RR0001,2021-01-31,25,,,,
836044719RR0001,2021-01-31,25,,,,
118875608RR0001,2021-01-31,25,,,,
140412834RR0001,2021-01-31,25,N,N,N,N
131879363RR0001,2021-01-31,24,,,,
843148917RR0001,2021-02-28,25,,,,
891346348RR0001,2021-01-31,25,,,,
118809011RR0001,2021-02-28,25,,,,
119222677RR0001,2021-01-31,25,,,,
119157238RR0001,2021-01-31,25,,,,
865947287RR0001,2021-01-31,25,,,,
770352110RR0001,2021-02-09,25,,,,
777522483RR0001,2021-01-02,25,,,,
892469966RR0001,2021-01-31,25,,,,
818723546RR0001,2021-02-28,25,,,,
780015699RR0001,2021-01-31,25,N,N,N,N
831828124RR0001,2021-02-28,25,,,,
812863355RR0001,2021-02-28,25,N,N,,
132242249RR0001,2021-03-20,25,,,,
851888412RR0001,2021-02-14,25,,,,
127079044RR0001,2021-01-31,25,,,,
891261398RR0001,2021-01-31,25,,,,
119273175RR0001,2021-01-31,25,,,,
855970133RR0001,2021-01-31,25,,,,
107385684RR0001,2021-01-31,24,,,,
108219650RR0001,2021-01-31,25,,,,
889252441RR0001,2021-03-20,25,N,N,N,N
118799154RR0001,2021-02-28,24,,,,
819097999RR0001,2021-01-31,25,,,,
857642391RR0001,2021-01-31,25,,,,
800759417RR0001,2021-02-28,25,,,,
806188355RR0001,2021-01-31,25,N,N,N,N
843769845RR0001,2021-03-31,25,N,N,N,N
774101489RR0001,2021-02-28,25,,,,
119102333RR0001,2021-03-31,25,,,,
717793939RR0001,2021-03-31,25,N,N,N,N
118816818RR0001,2021-02-28,25,,,,
840604185RR0001,2021-03-31,25,,,,
856477856RR0001,2021-01-31,25,N,N,,
719316283RR0001,2021-03-31,25,N,N,N,N
132023177RR0001,2021-02-28,25,,,,
119159846RR0001,2021-03-20,25,,,,
863420675RR0001,2021-03-31,25,,,,
867945123RR0001,2021-03-31,25,,,,
119088359RR0001,2021-03-31,25,,,,
118885094RR0001,2021-03-31,25,,,,
134537802RR0001,2021-03-31,25,,,,
119256576RR0001,2021-03-20,25,,,,
781774310RR0001,2021-03-31,25,,,,
871998522RR0001,2021-02-28,25,,,,
888578440RR0001,2021-01-31,25,,,,
804275477RR0001,2021-03-31,25,,,,
819156704RR0001,2021-03-31,25,,,,
888992443RR0001,2021-03-20,25,,,,
827307745RR0001,2021-03-31,25,,,,
855579512RR0001,2021-03-31,25,,,,
133977603RR0001,2021-01-31,25,,,,
807806252RR0001,2021-03-31,25,,,,
118987817RR0001,2021-03-31,25,,,,
713482297RR0001,2021-01-31,25,N,N,,
119033702RR0001,2021-01-08,25,,,,
891798969RR0001,2021-02-28,24,,,,
828776583RR0001,2021-02-28,25,,,,
850144502RR0001,2021-01-31,25,,,,
813655149RR0001,2021-02-28,25,,,,
106963515RR0001,2021-03-31,25,,,,
700936875RR0001,2021-03-31,25,N,N,N,N
820483428RR0001,2021-01-31,25,N,N,N,N
889496667RR0001,2021-01-31,25,,,,
119267391RR0001,2021-01-31,25,,,,
130167232RR0001,2021-03-31,25,,,,
118798149RR0001,2021-02-28,24,,,,
119256600RR0001,2021-03-20,25,N,N,N,N
119058402RR0001,2021-03-31,25,,,,
898686571RR0001,2021-03-31,25,,,,
758222111RR0001,2021-03-05,23,,,,
892608241RR0001,2021-01-31,25,,,,
746725696RR0001,2021-03-31,25,,,,
119256709RR0001,2021-03-20,24,,,,
141128025RR0001,2021-03-31,25,,,,
140525171RR0001,2021-03-31,23,,,,
727847691RR0001,2021-03-31,25,,,,
107556250RR0001,2021-03-31,25,,,,
891008641RR0001,2021-03-31,25,,,,
707899688RR0001,2021-03-31,25,,,,
131568560RR0001,2021-03-31,25,,,,
855557336RR0001,2021-02-28,23,,,,
890795941RR0001,2021-03-20,25,,,,
890862923RR0001,2021-03-31,25,,,,
876449075RR0001,2021-01-31,25,,,,
119159648RR0001,2021-03-20,25,N,N,N,N
860245729RR0001,2021-03-31,25,,,,
134525518RR0001,2021-03-31,25,,,,
824483234RR0001,2021-03-31,25,,,,
107376857RR0001,2021-03-31,25,,,,
706098118RR0001,2021-03-31,25,N,N,N,N
867252330RR0001,2021-01-31,25,,,,
814791661RR0001,2021-02-28,25,N,N,N,N
851502625RR0001,2021-03-31,25,,,,
118979178RR0001,2021-03-31,24,,,,
861319812RR0001,2021-01-31,24,N,N,N,N
119256949RR0001,2021-03-20,25,N,N,N,N
821701356RR0001,2021-03-31,25,,,,
889830923RR0001,2021-03-31,25,,,,
837637693RR0001,2021-02-28,25,,,,
118977834RR0001,2021-02-28,25,,,,
823056437RR0001,2021-03-31,25,,,,
889269148RR0001,2021-01-31,25,,,,
889258398RR0001,2021-01-31,25,,,,
