BN,FPE,Form ID,200,210,220,230,240,250,260
770352110RR0001,2021-02-09,25,11395,Y,N,,N,N,N
851888412RR0001,2021-02-14,25,33437,N,N,,N,Y,Y
819097999RR0001,2021-01-31,25,10126,N,N,,N,Y,N
888578440RR0001,2021-01-31,25,25173,N,N,,N,N,N
819156704RR0001,2021-03-31,25,7805,N,N,,Y,Y,N
850144502RR0001,2021-01-31,25,8083,Y,N,,N,Y,N
875106817RR0001,2021-03-31,25,20340,N,N,,N,N,N
818472896RR0001,2021-03-31,25,44214,N,N,,N,N,N
864534482RR0001,2021-03-30,25,,Y,N,,N,N,N
868766775RR0001,2021-02-28,25,,N,N,,N,Y,
866144702RR0001,2021-01-31,24,4095,N,,,,Y,
730087921RR0001,2021-02-02,25,29419,Y,N,,N,Y,N
863311866RR0001,2021-03-31,25,16108,Y,N,,N,N,N
800478588RR0001,2021-03-31,25,26683,N,N,,N,Y,N
871545513RR0001,2021-03-31,24,2650,,N,,N,N,N
866654239RR0001,2021-03-31,25,3950,Y,N,,N,Y,N
118831106RR0001,2021-03-31,25,27431777,Y,Y,13375620,Y,N,N
136312964RR0001,2021-03-31,25,3064,N,N,,Y,Y,N
701554891RR0001,2021-03-31,24,21404,Y,N,,Y,Y,Y
119131936RR0001,2021-03-31,25,33178,Y,N,,N,N,N
887442036RR0001,2021-02-09,25,2187,Y,N,,N,Y,N
807165345RR0001,2021-01-31,24,6000,Y,N,,N,Y,N
807314349RR0001,2021-01-31,25,11500,Y,N,,N,Y,N
825731458RR0001,2021-03-31,25,9166,N,N,,N,Y,N
118977628RR0001,2021-04-30,25,18134,Y,N,,N,N,N
889391793RR0001,2021-02-28,25,92373,Y,N,,N,N,N
100301894RR0001,2021-03-31,25,,N,N,,N,N,N
835406687RR0001,2021-01-31,25,45734,Y,N,,N,N,N
867435497RR0001,2021-03-31,25,22952292,Y,N,,N,N,N
821434347RR0001,2021-03-31,24,116781,Y,N,,N,N,N
107354557RR0001,2021-01-31,25,285584,N,N,,Y,Y,N
119257053RR0001,2021-03-20,25,,N,N,,N,N,N
106918543RR0001,2021-03-31,25,22719174,Y,Y,5154095,Y,Y,Y
765140496RR0001,2021-05-31,25,302400,N,N,,N,Y,N
802703744RR0001,2021-01-31,25,43684,Y,N,,N,Y,N
859956286RR0001,2021-03-31,25,41110,Y,N,,N,N,N
830447116RR0001,2021-03-31,25,9080,Y,N,,N,Y,N
806385837RR0001,2021-04-30,25,27568,Y,N,,N,Y,N
886117191RR0001,2021-03-31,25,8750,Y,N,,N,Y,N
719359325RR0001,2021-03-31,25,,Y,N,,N,N,N
118880038RR0001,2021-05-31,25,317057,Y,N,,Y,N,N
886817113RR0001,2021-04-30,24,17113,,N,,N,Y,N
889160172RR0001,2021-03-31,25,253635,N,N,,N,N,N
119059772RR0001,2021-01-01,25,25100,Y,N,,N,N,N
119302693RR0001,2021-03-31,25,,N,,,,,
881548564RR0001,2021-03-31,25,,N,N,,N,N,N
806405759RR0001,2021-02-28,25,668833,Y,N,,N,N,N
823748488RR0001,2021-03-31,23,,Y,N,,N,N,N
891534646RR0001,2021-02-28,25,55400,Y,N,,N,N,N
889162541RR0001,2021-03-31,25,156363,Y,N,,Y,N,N
825285695RR0001,2021-03-31,25,32326,Y,N,,N,Y,N
139138861RR0002,2021-03-31,25,19881,N,N,,N,Y,N
860543578RR0001,2021-03-31,25,15256,Y,N,,N,N,N
810530550RR0001,2021-02-28,25,560,N,N,,N,Y,N
740548920RR0001,2021-06-30,25,86935,Y,N,,Y,N,N
106967086RR0001,2021-01-31,25,1155473,Y,N,,Y,Y,N
776896524RR0001,2021-03-31,25,45803,Y,N,,N,N,N
870758547RR0001,2021-03-31,25,27731,N,N,,N,N,N
827650946RR0001,2021-01-31,25,31388,Y,N,,N,N,N
889248043RR0001,2021-02-28,25,4000,Y,N,,N,N,N
848191060RR0001,2021-03-31,25,101251,N,Y,28723,N,N,N
132410671RR0001,2021-03-31,25,334021,N,N,,,N,N
106952559RR0001,2021-03-31,25,54261,N,N,,N,N,Y
