charity_org_name_text,charity_org_name_href,charity_status,charity_type,charity_province,charity_city,charity_status_date,insert_date
(A.C.C.E.S.) ACCESSIBLE COMMUNITY COUNSELLING AND EMPLOYMENT SERVICES,/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=136747276RR0001&dsrdPg=1,Registered,Charity,ON,TORONTO,1987-08-15,2023-11-20 20:45:15
(B.O.I.) BARONS ORGANIZATION AND INVOLVEMENT SOCIETY,/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=865910137RR0001&dsrdPg=1,Revoked-Failure to File,Charity,BC,VICTORIA,2005-09-03,2023-11-20 20:45:15
(BURLINGTON) S A L T COUNCIL,/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=893440370RR0001&dsrdPg=1,Revoked-Voluntary,Charity,ON,BURLINGTON,1998-10-31,2023-11-20 20:45:15
(C A H R D ) CENTRE FOR ABORIGINAL HUMAN RESOURCE DEVELOPMENT INC.,/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=119052124RR0001&dsrdPg=1,Registered,Charity,MB,WINNIPEG,1987-04-01,2023-11-20 20:45:15
(C.N.P.S.) CONSERVE NATIVE PLANTS SOCIETY INC.,/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=889256707RR0001&dsrdPg=1,Revoked-Voluntary,Charity,MB,WINNIPEG,2013-05-11,2023-11-20 20:45:15
(CAFGRAF) GROUPE D'ENTRAIDE EN SANTÉ MENTALE DE LAVAL,/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=139415707RR0001&dsrdPg=1,Registered,Charity,QC,LAVAL,1994-07-25,2023-11-20 20:45:15
(CAPE) Center for Adults in Progressive Employment Society,/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=106807464RR0001&dsrdPg=1,Registered,Charity,NS,GLACE BAY,1990-04-01,2023-11-20 20:45:15
(CSFO) CHINESE STUDENT FUND OF ONTARIO,/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=118880681RR0001&dsrdPg=1,Revoked-Failure to File,Charity,ON,GREENWOOD,1994-10-29,2023-11-20 20:45:15
(EVANGELIZE CHINA) FELLOWSHIP OF CANADA INCORPORATED,/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=118904044RR0001&dsrdPg=1,Revoked-Failure to File,Charity,ON,KING CITY,1999-08-28,2023-11-20 20:45:15
(G.E.B.A.) GROUPE D'EVANGELISATION DU BUISSON ARDENT,/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=893439620RR0001&dsrdPg=1,Revoked-Voluntary,Charity,QC,PRINCEVILLE,2008-03-08,2023-11-20 20:45:15
(GROSVENOR ROAD) GRACE COMMUNITY CHURCH,/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=118948306RR0001&dsrdPg=1,Registered,Charity,BC,SURREY,1975-01-01,2023-11-20 20:45:15
(LE) PAVOIS - PROGRAMME D'ACTIVITES VALORISANTES OFFRANT INTERACTION ET SOUTIEN,/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=118191501RR0001&dsrdPg=1,Registered,Charity,QC,QUÉBEC,1989-04-01,2023-11-20 20:45:15
(LES) BOUTS D'CHOUX,/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=893589069RR0001&dsrdPg=1,Registered,Charity,ON,TORONTO,1989-11-25,2023-11-20 20:45:15
(M.P.E.I.) MOTION PICTURE AND ENTERTAINMENT INDUSTRY FOUNDATION,/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=868732298RR0001&dsrdPg=1,Revoked-Failure to File,Charity,BC,VANCOUVER,2003-11-15,2023-11-20 20:45:15
(MECENE)MOUVEMENT DES ENTREPRISES CANNADIENNES ENGAGEES AU N,/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=892396169RR0001&dsrdPg=1,Revoked-Failure to File,Charity,QC,DORVAL,1999-05-08,2023-11-20 20:45:15
(MEMFB) Mississauga East Malton Food Bank - PEEL POVERTY MANAGEMENT CENTRE,/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=822335261RR0001&dsrdPg=1,Registered,Charity,ON,BRAMPTON,2012-04-01,2023-11-20 20:45:15
(PVS) POLICE VICTIM SERVICES OF BRITISH COLUMBIA,/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=121500284RR0001&dsrdPg=1,Registered,Charity,BC,VICTORIA,1993-06-26,2023-11-20 20:45:15
"(RAANBSLGIM) REGROUPEMENT DES AIDANTS ET AIDANTES NATURELS BAS-ST-LAURENT, GASPESIE, ILES DE LA MADELEINE",/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=867140527RR0001&dsrdPg=1,Revoked-Failure to File,Charity,QC,ST-OMER,2021-01-16,2023-11-20 20:45:15
(S. C. A. C. S. A.) SUNSHINE COAST ARMY CADET SUPPORT ASSOCIATION,/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=868793225RR0001&dsrdPg=1,Revoked-Failure to File,Charity,BC,SECHELT,2022-07-30,2023-11-20 20:45:15
(S.P.A.N.) ST. PAUL ABILITIES NETWORK SOCIETY,/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=108035544RR0001&dsrdPg=1,Registered,Charity,AB,ST. PAUL,1967-01-01,2023-11-20 20:45:15
(SHOUTERS) NATIONAL EVANGELICAL SPIRITUAL BAPTIST FAITH INTERNATIONAL CENTRE OF CANADA,/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=893184473RR0001&dsrdPg=1,Registered,Charity,ON,PICKERING,1988-10-05,2023-11-20 20:45:15
(W.A.V.E.) WORKING AGAINST VIOLENCE ERIE,/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=108221912RR0001&dsrdPg=1,Revoked-Voluntary,Charity,ON,RIDGEWAY,2007-10-13,2023-11-20 20:45:15
(1)NE:foundation,/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=826488231RR0001&dsrdPg=1,Registered,Charity,SK,MOOSOMIN,2014-01-01,2023-11-20 20:45:15
"*BEAR RING ""U"" 'N MIND* FOUNDATION",/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=834621724RR0001&dsrdPg=1,Revoked-Voluntary,Charity,BC,COURTENAY,2019-10-12,2023-11-20 20:45:15
À coeur ouvert (fonds de dépannage),/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=890392392RR0001&dsrdPg=1,Revoked-Failure to File,Charity,QC,L'ILES BIZARD,2018-05-12,2023-11-20 20:45:15
À la portée des sons inc.,/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=100107598RR0001&dsrdPg=1,Registered,Charity,QC,DRUMMONDVILLE,2014-02-07,2023-11-20 20:45:15
À nouveau sur pied,/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=833096035RR0001&dsrdPg=1,Revoked-Voluntary,Charity,QC,SAINT-RÉMI,2021-07-17,2023-11-20 20:45:15
À LA SOURCE SEPT-ÎLES,/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=106952633RR0001&dsrdPg=1,Registered,Charity,QC,SEPT-ÎLES,1982-04-01,2023-11-20 20:45:15
"Ébénisterie d'art du palais, école-atelier",/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=825013618RR0001&dsrdPg=1,Revoked-Voluntary,Charity,QC,MARIEVILLE,2014-11-29,2023-11-20 20:45:15
Échecs en téte,/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=734970320RR0001&dsrdPg=1,Revoked-Voluntary,Charity,QC,LEVIS,2021-07-17,2023-11-20 20:45:15
Échos de l'évangile - Cité d'adoration Nouvelle Jérusalem (CANJ),/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=842125684RR0001&dsrdPg=1,Registered,Charity,QC,GATINEAU,2018-10-26,2023-11-20 20:45:15
Éco-corridors laurentiens,/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=779293497RR0001&dsrdPg=1,Registered,Charity,QC,SAINT-JEROME,2018-04-01,2023-11-20 20:45:15
Éco-Maris,/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=855642799RR0001&dsrdPg=1,Registered,Charity,QC,MONTREAL,2015-09-02,2023-11-20 20:45:15
École Études Talmudiques Beth Yosef Meir,/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=728254095RR0001&dsrdPg=1,Registered,Charity,QC,COTE SAINT-LUC,2017-03-20,2023-11-20 20:45:15
École d'Entrepreneurship de Beauce,/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=830961827RR0001&dsrdPg=1,Registered,Charity,QC,SAINT-GEORGES,2009-01-01,2023-11-20 20:45:15
École d'Entrepreneurship du Québec,/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=815664263RR0001&dsrdPg=1,Registered,Charity,QC,VILLE DE SAINT-GEORGES,2010-07-01,2023-11-20 20:45:15
École dans la rue (EDLAR),/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=803533009RR0001&dsrdPg=1,Revoked-Failure to File,Charity,QC,LAVAL,2022-05-07,2023-11-20 20:45:15
École de danse contemporaine de Montréal /Montreal School ofContemporary Dance,/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=103075511RR0001&dsrdPg=1,Registered,Charity,QC,MONTREAL,1985-01-01,2023-11-20 20:45:15
École de danse SMG inc,/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=125492868RR0002&dsrdPg=1,Registered,Charity,QC,JONQUIERE,2018-12-28,2023-11-20 20:45:15
École de musique l'Accroche Notes,/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=891436875RR0001&dsrdPg=1,Registered,Charity,QC,LEVIS,1995-09-01,2023-11-20 20:45:15
École de musique Amadeus et Cie,/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=860197649RR0001&dsrdPg=1,Registered,Charity,QC,QUEBEC,2008-01-11,2023-11-20 20:45:15
École de musique Fernand-Lindsay,/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=144991718RR0001&dsrdPg=1,Registered,Charity,QC,JOLIETTE,2007-09-13,2023-11-20 20:45:15
École de musique Miransol Inc.,/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=898013495RR0001&dsrdPg=1,Registered,Charity,QC,SAINTE-ANNE-DES-MONTS,2020-10-28,2023-11-20 20:45:15
École de percussions du Québec,/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=857625297RR0001&dsrdPg=1,Revoked-Failure to File,Charity,QC,MONTREAL,2017-10-21,2023-11-20 20:45:15
École de Ballet du Québec/The Québec Ballet School,/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=889492500RR0001&dsrdPg=1,Revoked-Failure to File,Charity,QC,QUEBEC,2023-06-17,2023-11-20 20:45:15
École de Cirque des Îles,/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=837901545RR0001&dsrdPg=1,Registered,Charity,QC,ÎLES-DE-LA-MADELEINE,2010-12-07,2023-11-20 20:45:15
École de Shaolin Wing-Chun Kung-fu d'Argenteuil,/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=744534330RR0001&dsrdPg=1,Registered,Charity,QC,LACHUTE,2021-02-16,2023-11-20 20:45:15
"École des arts de la scène, nos voix, nos visages",/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=120507512RR0001&dsrdPg=1,Registered,Charity,QC,LONGUEUIL,2023-07-13,2023-11-20 20:45:15
École du milieu de Lévis,/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=833910706RR0001&dsrdPg=1,Registered,Charity,QC,LEVIS,2012-04-02,2023-11-20 20:45:15
École le repaire,/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=773382205RR0001&dsrdPg=1,Registered,Charity,QC,BELOEIL,2022-08-16,2023-11-20 20:45:15
École oraliste de Québec pour enfants malentendants ou sourds,/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=861463685RR0001&dsrdPg=1,Registered,Charity,QC,QUEBEC,2018-11-26,2023-11-20 20:45:15
École primaire Montessori,/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=853387496RR0001&dsrdPg=1,Registered,Charity,QC,MAGOG,2008-08-06,2023-11-20 20:45:15
École régionale de musique de Pont-Rouge,/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=863219887RR0001&dsrdPg=1,Registered,Charity,QC,PONT-ROUGE,2008-06-01,2023-11-20 20:45:15
École Al Farabi,/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=843140757RR0001&dsrdPg=1,Registered,Charity,QC,QUEBEC,2010-04-28,2023-11-20 20:45:15
École Apprends-moi,/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=728295478RR0001&dsrdPg=1,Registered,Charity,QC,LONGUEUIL,2020-04-29,2023-11-20 20:45:15
École Jazz manouche de Montréal,/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=810616649RR0001&dsrdPg=1,Revoked-Voluntary,Charity,QC,MONTRÉAL,2017-02-18,2023-11-20 20:45:15
École Lucien-Guilbault Inc.,/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=107584153RR0001&dsrdPg=1,Registered,Charity,QC,MONTREAL,1995-04-22,2023-11-20 20:45:15
