charity_org_name_text,charity_org_name_href,charity_status,charity_type,charity_province,charity_city,charity_status_date
(A.C.C.E.S.) ACCESSIBLE COMMUNITY COUNSELLING AND EMPLOYMENT SERVICES,/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=136747276RR0001&dsrdPg=1,Registered,Charity,ON,TORONTO,Registered
(B.O.I.) BARONS ORGANIZATION AND INVOLVEMENT SOCIETY,/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=865910137RR0001&dsrdPg=1,Revoked-Failure to File,Charity,BC,VICTORIA,Revoked-Failure to File
(BURLINGTON) S A L T COUNCIL,/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=893440370RR0001&dsrdPg=1,Revoked-Voluntary,Charity,ON,BURLINGTON,Revoked-Voluntary
(C A H R D ) CENTRE FOR ABORIGINAL HUMAN RESOURCE DEVELOPMENT INC.,/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=119052124RR0001&dsrdPg=1,Registered,Charity,MB,WINNIPEG,Registered
(C.N.P.S.) CONSERVE NATIVE PLANTS SOCIETY INC.,/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=889256707RR0001&dsrdPg=1,Revoked-Voluntary,Charity,MB,WINNIPEG,Revoked-Voluntary
(CAFGRAF) GROUPE D'ENTRAIDE EN SANTÉ MENTALE DE LAVAL,/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=139415707RR0001&dsrdPg=1,Registered,Charity,QC,LAVAL,Registered
(CAPE) Center for Adults in Progressive Employment Society,/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=106807464RR0001&dsrdPg=1,Registered,Charity,NS,GLACE BAY,Registered
(CSFO) CHINESE STUDENT FUND OF ONTARIO,/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=118880681RR0001&dsrdPg=1,Revoked-Failure to File,Charity,ON,GREENWOOD,Revoked-Failure to File
(EVANGELIZE CHINA) FELLOWSHIP OF CANADA INCORPORATED,/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=118904044RR0001&dsrdPg=1,Revoked-Failure to File,Charity,ON,KING CITY,Revoked-Failure to File
(G.E.B.A.) GROUPE D'EVANGELISATION DU BUISSON ARDENT,/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=893439620RR0001&dsrdPg=1,Revoked-Voluntary,Charity,QC,PRINCEVILLE,Revoked-Voluntary
(GROSVENOR ROAD) GRACE COMMUNITY CHURCH,/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=118948306RR0001&dsrdPg=1,Registered,Charity,BC,SURREY,Registered
